Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22749723,Who Gets What — and Why: The New Economics of Matchmaking and Market Design,Alvin E. Roth,"Roth, Alvin E.",,"=""0544291131""","=""9780544291133""",2,3.86,Eamon Dolan/Houghton Mifflin Harcourt,Hardcover,272,2015,2014,,2019/07/14,non-fiction,non-fiction (#8),read,,,,1,,,0,,,,,
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",5,3.97,William Morrow,Hardcover,320,2006,2005,2015/06/28,2015/05/23,non-fiction,non-fiction (#28),read,,,,1,,,1,,,unspecified,,
30334134,The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,"Lewis, Michael",,"=""0393254593""","=""9780393254594""",4,3.99,W. W. Norton & Company,Hardcover,368,2016,2016,2017/02/27,2017/02/22,non-fiction,non-fiction (#42),read,,,,1,,,0,,,,,
45029227,Football Hackers: The Science and Art of a Data Revolution,Christoph Biermann,"Biermann, Christoph",,"=""""","=""""",3,4.33,Blink Publishing,Kindle Edition,304,2019,,2019/10/24,2019/09/24,"non-fiction, sports, soccer","non-fiction (#14), sports (#21), soccer (#7)",read,,,,1,,,0,,,,,
43811457,"The National Team: The Inside Story of the Women Who Dreamed Big, Defied the Odds, and Changed Soccer",Caitlin  Murray,"Murray, Caitlin",,"=""""","=""""",4,4.52,Abrams Press,Kindle Edition,272,2019,2019,2019/06/04,2019/05/19,"non-fiction, sports, soccer","non-fiction (#7), sports (#18), soccer (#5)",read,Loved all the details of the backroom dealing the USWNT had to do to get respect from the people in charge of the team.,,,1,,,0,,,,,
39935873,Soccer in Sun and Shadow,Eduardo Galeano,"Galeano, Eduardo",Mark Fried,"=""""","=""""",5,4.18,Open Road Media,Kindle Edition,320,2014,1995,2019/08/19,2019/08/07,"non-fiction, sports, soccer","non-fiction (#10), sports (#19), soccer (#6)",read,,,,1,,,0,,,,,
39783597,"Soccernomics: Why England Loses; Why Germany, Spain, and France Win; and Why One Day Japan, Iraq, and the United States Will Become Kings of the World's Most Popular Sport",Simon Kuper,"Kuper, Simon",Stefan Szymanski,"=""""","=""""",4,3.93,Nation Books,Kindle Edition,497,2018,2009,2020/03/19,2019/05/18,"non-fiction, sports, soccer","non-fiction (#6), sports (#17), soccer (#4)",read,,,,1,,,0,,,,,
40225612,"The Club: How the English Premier League Became the Wildest, Richest, Most Disruptive Force in Sports",Joshua  Robinson,"Robinson, Joshua",Jonathan Clegg,"=""1328506452""","=""9781328506450""",4,4.33,Houghton Mifflin Harcourt,Hardcover,368,2018,2018,,2018/12/24,"non-fiction, sports, soccer","non-fiction (#55), sports (#14), soccer (#2)",read,,,,1,,,0,,,,,
36373561,Red Card: How the U.S. Blew the Whistle on the World's Biggest Sports Scandal,Ken Bensinger,"Bensinger, Ken",,"=""150113390X""","=""9781501133909""",5,4.13,Simon  Schuster,Hardcover,368,2018,2018,,2018/12/18,"non-fiction, sports, soccer","non-fiction (#52), sports (#12), soccer (#1)",read,,,,1,,,0,,,,,
42035620,Good to Go: What the Athlete in All of Us Can Learn from the Strange Science of Recovery,Christie Aschwanden,"Aschwanden, Christie",,"=""""","=""""",4,4.11,W. W. Norton & Company,Kindle Edition,312,2019,2019,2020/03/23,2019/09/15,"non-fiction, sports","non-fiction (#12), sports (#20)",read,,,,1,,,0,,,,,
